Fish_ID,Cohort,Treatment_Level,Experiment_Type,Total_Length,Standard_Length,Height,Weight,DB_Bites,CB_Bites,DE_Bites,CE_Bites,DB_Mass,CB_Mass,DE_Mass,CE_Mass
NL26,7,12,Both,15.3,13.1,6,70.77,27,194,66,184,0.13,0.56,0.18,0.82
NL27,7,12,Both,12,10.2,4.8,31.11,9,13,2,0,0.07,0.12,0.05,0.26
NL28,8,9,Both,12.6,10.8,5.2,40.14,114,11,155,172,1.1,0.19,0.36,0.46
NL29,8,12,Both,12.7,10.9,5,39.75,0,0,0,0,0.17,0.02,0.04,-0.01
NL30,8,12,Both,12.2,10.4,4.9,37.15,0,0,0,0,0.13,0.08,0.06,0.01
NL31,10,6,Both,11.2,9.4,4.8,30.52,75,10,40,109,0.56,0.23,0.14,0.11
NL32,10,6,Both,12.6,10.9,5.1,36.82,40,164,77,24,0.06,0.23,0.14,0.11
NL33,10,6,Both,14.1,11.9,5.7,60.07,104,70,5,145,0.85,0.26,0.14,0.35
NL34,10,6,Both,13.2,11.4,5.6,46.35,117,23,41,205,0.56,0.13,0.2,0.21
NL35,11,12,Both,12.1,10.5,4.9,36.02,0,1,0,70,,,,
NL36,11,12,Both,13.9,12,5.6,52.87,81,84,46,74,,,,
NL1,NA,6,Control,12.1,10.4,5,38.86,0,0,0,0,0.05,0.05,0.03,0
NL2,NA,9,Control,14.2,12.3,5.1,53.02,0,0,0,0,0.05,0.05,0.03,0
NL3,NA,12,Control,12.9,10.9,4.8,41.53,0,0,0,0,0,0.05,0,0
NL4,NA,6,Control,12.6,10.9,5.1,38.83,51,64,140,182,0.1,0.5,0.32,0.94
NL5,NA,9,Control,15.8,13.6,6.2,84.31,52,131,74,140,0.27,2.09,1.12,0.66
NL6,1,6,Control,12.6,10.8,5.1,39.24,0,0,0,0,0.01,0.27,0.02,-0.5
NL7,1,6,Control,11.1,9.9,4.4,26.3,4,14,15,26,0.04,-0.18,0.14,0.73
NL8,1,6,Control,11.7,10,4.4,32.64,0,0,0,0,0.11,0.02,0.03,0.14
